Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	mmu01100:Metabolic pathways	58	18.77022653721683	1.7551005966419924E-11	CDA, HCCS, ATP5G3, OPLAH, LIPF, GYS2, CAR13, UPP1, ELOVL4, DGAT1, HMGCS1, PDE4D, PGAM1, SDHD, NME1, PHOSPHO1, NDUFS7, CYP2U1, EHHADH, ADSSL1, ACOT2, ACOT1, ACOT4, FBP2, ACOT3, HACD1, MAOA, ODC1, AK1, PRUNE1, ADCY3, ACAA1B, HSD17B7, AGPAT2, ALDH3B3, ALDH3B2, PPCS, ESD, GCNT2, PGK1, ST3GAL5, GPAT3, COX10, NDUFA8, CAR2, PLA2G2E, GGT6, GK, GOT1, GSS, EPHX2, PRDX6, PAFAH2, DHRS9, CTH, CYCS, ALPL, PDE7B	134	1621	9011	2.4060972128868303	3.896313272022667E-9	3.896323324545223E-9	3.808568294713123E-9
KEGG_PATHWAY	mmu03320:PPAR signaling pathway	10	3.2362459546925564	5.938417744949975E-6	FABP3, GK, HMGCS1, EHHADH, UCP1, PLIN2, ACAA1B, PPARA, CPT1B, PLIN5	134	89	9011	7.555760523226564	0.0013174640350547273	6.544589566871173E-4	6.397188900950651E-4
KEGG_PATHWAY	mmu01040:Biosynthesis of unsaturated fatty acids	7	2.26537216828479	8.844039955231315E-6	HACD1, ELOVL4, ACOT2, ACOT1, ACAA1B, ACOT4, ACOT3	134	34	9011	13.844820017559263	0.0019614593716172912	6.544589566871173E-4	6.397188900950651E-4
KEGG_PATHWAY	mmu00062:Fatty acid elongation	6	1.9417475728155338	5.803334797135007E-5	HACD1, ELOVL4, ACOT2, ACOT1, ACOT4, ACOT3	134	29	9011	13.913021101389603	0.012801136529743129	0.0032208508124099288	0.003148309127445741
KEGG_PATHWAY	mmu04913:Ovarian steroidogenesis	7	2.26537216828479	3.148215742543957E-4	STAR, ACOT2, ACOT1, ADCY3, HSD17B7, ACOT4, ACOT3	134	63	9011	7.471807628524046	0.06751423527883738	0.013978077896895168	0.013663256322640772
KEGG_PATHWAY	mmu04714:Thermogenesis	12	3.8834951456310676	5.983023133385931E-4	KLB, NDUFA8, NDUFS7, NDUFAF4, UCP1, ADCY3, ATP5G3, SDHD, SLC25A20, CPT1B, COX10, FGF21	134	231	9011	3.4933126574917615	0.1244148415320353	0.022137185593527946	0.02163860033241245
KEGG_PATHWAY	mmu00360:Phenylalanine metabolism	4	1.2944983818770228	0.0034417138904877928	ALDH3B3, ALDH3B2, GOT1, MAOA	134	21	9011	12.808813077469795	0.5348420934924194	0.10915149766975572	0.10669313060512157
KEGG_PATHWAY	mmu05012:Parkinson disease	11	3.559870550161812	0.00561315172349651	NDUFA8, PSMB5, NDUFS7, MAOA, DDIT3, PPIF, CYCS, ATP5G3, SDHD, SLC18A1, TXN2	134	264	9011	2.8019278606965177	0.7133892211024104	0.15576496032702816	0.15225674049984284
KEGG_PATHWAY	mmu01212:Fatty acid metabolism	5	1.6181229773462782	0.013078245813512353	HACD1, ELOVL4, EHHADH, ACAA1B, CPT1B	134	62	9011	5.423086181993259	0.9462022287770512	0.28746019276336404	0.28098586409752246
KEGG_PATHWAY	mmu00561:Glycerolipid metabolism	5	1.6181229773462782	0.013808911469059021	LIPF, GK, DGAT1, GPAT3, AGPAT2	134	63	9011	5.337005448945747	0.9543586598557368	0.28746019276336404	0.28098586409752246
